No;Kode Dealer;Nama Dealer;Kode Main Dealer
488;2217;SINAR REMBULAN;J10
489;8035;PASTI JAYA MOTOR;J10
490;10825;HARI BARU MOTOR;J10
491;18647;AHASS MURNI MOTOR;M3Z
492;15293;UD. PRIMA JAYA;M2Z
493;18191;ABDUL AZIZ MOTOR;M2Z
494;6782;D.L MOTOR;E20
495;16579;SONI SAKTIE MOTOR 2;M2Z
496;1629;TIMUR JAYA;I3Z
497;13770;AKBAR MOTOR SERVIS II;B10
498;1607;SURYA MOTOR;K0Z
499;9490;AGUNG ABADI MOTOR;M2Z
500;18803;POINT MOTOR;N01
501;8070;CV KARYA MANUNGGAL MANDIRI;K0Z
502;16406;GRIDA MOTOR;K0Z
503;7927;CV PUTRA ABADI MOTOR;K0Z
504;1875;UMS MOTOR;K0Z
505;16181;ADI MOTOR;K0Z
506;13520;HARDI BAGUS MOTOR;K0Z
507;710;SERASI MOTOR, UD;R5Z
508;12011;RAPAK JAYA MOTOR;R5Z
509;18036;RIZKI KILO;R4Z
510;2080;BANDUNG MOTOR;J10
511;9227;ANTON MOTOR;M2Z
512;1609;INDRA MOTOR;R4Z
513;17633;LUMINTU MOTOR;I3Z
514;1697;SINAR REJEKI;I3Z
515;7447;KICO;I3Z
516;18649;CV HIDAYAHH;D2Z
517;12010;PADAT KARYA;R5Z
518;7055;CV SANJAYA GEMILANG;L01
519;1475;WADUNG ASRI MOTOR;M2Z
520;8171;TUGU PERMAI;I3Z
521;18615;ELVIA JAYA;R4Z
522;17573;PAHALA MOTOR WAGIR;M3Z
523;128;SAKURA MOTOR;M3Z
524;1716;BANDARA;I3Z
525;7391;HARDJO MOTOR;M2Z
526;12423;YOTA MOTOR;M2Z
527;1653;MULYA JAYA MOTOR;K0Z
528;363;SUKSES MOTOR;L01
529;8307;CV. GADING MOTOR;L01
530;2764;PARAMITHA MOTOR;L01
531;6785;NUSA INDAH MOTOR;L01
532;1126;BINTANG ASIA;B10
533;937;DUMA MOTOR;H2Z
534;8684;SEDAYU HONDA SERVICE;L01
535;2044;RIA MOTOR;L01
536;1441;JUDHA MOTOR II;L01
537;2260;ROMAN MOTOR;R4Z
538;10061;MITRA JAYA SERVICE;C3Z
